n_gaps	total_chars	dataset	ref_weight	ref_frac	sample_frac	seed
26919567	46763352	human	simple	0.1	0.2	1
26919660	46763352	human	simple	0.1	0.2	2
26919653	46763352	human	simple	0.1	0.2	3
26919554	46763352	human	simple	0.1	0.2	4
26919554	46763352	human	simple	0.1	0.2	5
26919312	46763352	human	simple	0.1	0.2	6
26919638	46763352	human	simple	0.1	0.2	7
26919490	46763352	human	simple	0.1	0.2	8
26919389	46763352	human	simple	0.1	0.2	9
26919357	46763352	human	simple	0.1	0.2	10
26919376	46763352	human	simple	0.1	0.2	11
26919606	46763352	human	simple	0.1	0.2	12
26919385	46763352	human	simple	0.1	0.2	13
26919360	46763352	human	simple	0.1	0.2	14
26919457	46763352	human	simple	0.1	0.2	15
26919551	46763352	human	simple	0.1	0.2	16
26919354	46763352	human	simple	0.1	0.2	17
26919595	46763352	human	simple	0.1	0.2	18
26919614	46763352	human	simple	0.1	0.2	19
26919462	46763352	human	simple	0.1	0.2	20
35892720	62351136	human	simple	0.2	0.2	1
35892706	62351136	human	simple	0.2	0.2	2
35892548	62351136	human	simple	0.2	0.2	3
35892537	62351136	human	simple	0.2	0.2	4
35892674	62351136	human	simple	0.2	0.2	5
35892565	62351136	human	simple	0.2	0.2	6
35892743	62351136	human	simple	0.2	0.2	7
35892959	62351136	human	simple	0.2	0.2	8
35892866	62351136	human	simple	0.2	0.2	9
35892711	62351136	human	simple	0.2	0.2	10
35892563	62351136	human	simple	0.2	0.2	11
35892540	62351136	human	simple	0.2	0.2	12
35892457	62351136	human	simple	0.2	0.2	13
35892782	62351136	human	simple	0.2	0.2	14
35892558	62351136	human	simple	0.2	0.2	15
35892647	62351136	human	simple	0.2	0.2	16
35892707	62351136	human	simple	0.2	0.2	17
35892673	62351136	human	simple	0.2	0.2	18
35892427	62351136	human	simple	0.2	0.2	19
35892590	62351136	human	simple	0.2	0.2	20
44865798	77938920	human	simple	0.3	0.2	1
44866017	77938920	human	simple	0.3	0.2	2
44865592	77938920	human	simple	0.3	0.2	3
44865941	77938920	human	simple	0.3	0.2	4
44865690	77938920	human	simple	0.3	0.2	5
44865845	77938920	human	simple	0.3	0.2	6
44865751	77938920	human	simple	0.3	0.2	7
44866079	77938920	human	simple	0.3	0.2	8
44865790	77938920	human	simple	0.3	0.2	9
44865695	77938920	human	simple	0.3	0.2	10
44865645	77938920	human	simple	0.3	0.2	11
44865770	77938920	human	simple	0.3	0.2	12
44865731	77938920	human	simple	0.3	0.2	13
44865980	77938920	human	simple	0.3	0.2	14
44865967	77938920	human	simple	0.3	0.2	15
44865778	77938920	human	simple	0.3	0.2	16
44865763	77938920	human	simple	0.3	0.2	17
44865798	77938920	human	simple	0.3	0.2	18
44866025	77938920	human	simple	0.3	0.2	19
44865739	77938920	human	simple	0.3	0.2	20
53839010	93526704	human	simple	0.4	0.2	1
53838985	93526704	human	simple	0.4	0.2	2
53838896	93526704	human	simple	0.4	0.2	3
53838942	93526704	human	simple	0.4	0.2	4
53839066	93526704	human	simple	0.4	0.2	5
53838971	93526704	human	simple	0.4	0.2	6
53838908	93526704	human	simple	0.4	0.2	7
53839052	93526704	human	simple	0.4	0.2	8
53839081	93526704	human	simple	0.4	0.2	9
53839067	93526704	human	simple	0.4	0.2	10
53838953	93526704	human	simple	0.4	0.2	11
53839098	93526704	human	simple	0.4	0.2	12
53838916	93526704	human	simple	0.4	0.2	13
53839172	93526704	human	simple	0.4	0.2	14
53839037	93526704	human	simple	0.4	0.2	15
53838790	93526704	human	simple	0.4	0.2	16
53839049	93526704	human	simple	0.4	0.2	17
53839268	93526704	human	simple	0.4	0.2	18
53839037	93526704	human	simple	0.4	0.2	19
53839027	93526704	human	simple	0.4	0.2	20
62812035	109114488	human	simple	0.5	0.2	1
62812267	109114488	human	simple	0.5	0.2	2
62812111	109114488	human	simple	0.5	0.2	3
62812359	109114488	human	simple	0.5	0.2	4
62812106	109114488	human	simple	0.5	0.2	5
62812110	109114488	human	simple	0.5	0.2	6
62812249	109114488	human	simple	0.5	0.2	7
62812331	109114488	human	simple	0.5	0.2	8
62812044	109114488	human	simple	0.5	0.2	9
62812166	109114488	human	simple	0.5	0.2	10
62812011	109114488	human	simple	0.5	0.2	11
62812133	109114488	human	simple	0.5	0.2	12
62811989	109114488	human	simple	0.5	0.2	13
62812421	109114488	human	simple	0.5	0.2	14
62812120	109114488	human	simple	0.5	0.2	15
62811983	109114488	human	simple	0.5	0.2	16
62812113	109114488	human	simple	0.5	0.2	17
62812210	109114488	human	simple	0.5	0.2	18
62812199	109114488	human	simple	0.5	0.2	19
62811983	109114488	human	simple	0.5	0.2	20
71784918	124701676	human	simple	0.6	0.2	1
71784978	124701676	human	simple	0.6	0.2	2
71784992	124701676	human	simple	0.6	0.2	3
71785077	124701676	human	simple	0.6	0.2	4
71784921	124701676	human	simple	0.6	0.2	5
71784975	124701676	human	simple	0.6	0.2	6
71784984	124701676	human	simple	0.6	0.2	7
71784975	124701676	human	simple	0.6	0.2	8
71784813	124701676	human	simple	0.6	0.2	9
71785027	124701676	human	simple	0.6	0.2	10
71784969	124701676	human	simple	0.6	0.2	11
71784771	124701676	human	simple	0.6	0.2	12
71785041	124701676	human	simple	0.6	0.2	13
71785079	124701676	human	simple	0.6	0.2	14
71784771	124701676	human	simple	0.6	0.2	15
71784926	124701676	human	simple	0.6	0.2	16
71784948	124701676	human	simple	0.6	0.2	17
71785092	124701676	human	simple	0.6	0.2	18
71784813	124701676	human	simple	0.6	0.2	19
71784800	124701676	human	simple	0.6	0.2	20
80758058	140289460	human	simple	0.7	0.2	1
80758209	140289460	human	simple	0.7	0.2	2
80758149	140289460	human	simple	0.7	0.2	3
80758006	140289460	human	simple	0.7	0.2	4
80758040	140289460	human	simple	0.7	0.2	5
80758009	140289460	human	simple	0.7	0.2	6
80758126	140289460	human	simple	0.7	0.2	7
80758099	140289460	human	simple	0.7	0.2	8
80758076	140289460	human	simple	0.7	0.2	9
80758177	140289460	human	simple	0.7	0.2	10
80758003	140289460	human	simple	0.7	0.2	11
80758075	140289460	human	simple	0.7	0.2	12
80757995	140289460	human	simple	0.7	0.2	13
80758069	140289460	human	simple	0.7	0.2	14
80758160	140289460	human	simple	0.7	0.2	15
80757995	140289460	human	simple	0.7	0.2	16
80758107	140289460	human	simple	0.7	0.2	17
80758181	140289460	human	simple	0.7	0.2	18
80758093	140289460	human	simple	0.7	0.2	19
80757954	140289460	human	simple	0.7	0.2	20
89731273	155877244	human	simple	0.8	0.2	1
89731273	155877244	human	simple	0.8	0.2	2
89731273	155877244	human	simple	0.8	0.2	3
89731273	155877244	human	simple	0.8	0.2	4
89731273	155877244	human	simple	0.8	0.2	5
89731273	155877244	human	simple	0.8	0.2	6
89731273	155877244	human	simple	0.8	0.2	7
89731273	155877244	human	simple	0.8	0.2	8
89731273	155877244	human	simple	0.8	0.2	9
89731273	155877244	human	simple	0.8	0.2	10
89731273	155877244	human	simple	0.8	0.2	11
89731273	155877244	human	simple	0.8	0.2	12
89731273	155877244	human	simple	0.8	0.2	13
89731273	155877244	human	simple	0.8	0.2	14
89731273	155877244	human	simple	0.8	0.2	15
89731273	155877244	human	simple	0.8	0.2	16
89731273	155877244	human	simple	0.8	0.2	17
89731273	155877244	human	simple	0.8	0.2	18
89731273	155877244	human	simple	0.8	0.2	19
89731273	155877244	human	simple	0.8	0.2	20
26920072	46763352	human	abundance	0.1	0.2	1
26920208	46763352	human	abundance	0.1	0.2	2
26920111	46763352	human	abundance	0.1	0.2	3
26920085	46763352	human	abundance	0.1	0.2	4
26919850	46763352	human	abundance	0.1	0.2	5
26920006	46763352	human	abundance	0.1	0.2	6
26920080	46763352	human	abundance	0.1	0.2	7
26920209	46763352	human	abundance	0.1	0.2	8
26920078	46763352	human	abundance	0.1	0.2	9
26920061	46763352	human	abundance	0.1	0.2	10
26919931	46763352	human	abundance	0.1	0.2	11
26920155	46763352	human	abundance	0.1	0.2	12
26920028	46763352	human	abundance	0.1	0.2	13
26920206	46763352	human	abundance	0.1	0.2	14
26920029	46763352	human	abundance	0.1	0.2	15
26920071	46763352	human	abundance	0.1	0.2	16
26919984	46763352	human	abundance	0.1	0.2	17
26920027	46763352	human	abundance	0.1	0.2	18
26920164	46763352	human	abundance	0.1	0.2	19
26919930	46763352	human	abundance	0.1	0.2	20
35893356	62351136	human	abundance	0.2	0.2	1
35893173	62351136	human	abundance	0.2	0.2	2
35893466	62351136	human	abundance	0.2	0.2	3
35893538	62351136	human	abundance	0.2	0.2	4
35893582	62351136	human	abundance	0.2	0.2	5
35893649	62351136	human	abundance	0.2	0.2	6
35893493	62351136	human	abundance	0.2	0.2	7
35893517	62351136	human	abundance	0.2	0.2	8
35893411	62351136	human	abundance	0.2	0.2	9
35893797	62351136	human	abundance	0.2	0.2	10
35893405	62351136	human	abundance	0.2	0.2	11
35893502	62351136	human	abundance	0.2	0.2	12
35893456	62351136	human	abundance	0.2	0.2	13
35893257	62351136	human	abundance	0.2	0.2	14
35893516	62351136	human	abundance	0.2	0.2	15
35893664	62351136	human	abundance	0.2	0.2	16
35893223	62351136	human	abundance	0.2	0.2	17
35893321	62351136	human	abundance	0.2	0.2	18
35893513	62351136	human	abundance	0.2	0.2	19
35893584	62351136	human	abundance	0.2	0.2	20
44866568	77938920	human	abundance	0.3	0.2	1
44866892	77938920	human	abundance	0.3	0.2	2
44866867	77938920	human	abundance	0.3	0.2	3
44866869	77938920	human	abundance	0.3	0.2	4
44867015	77938920	human	abundance	0.3	0.2	5
44866826	77938920	human	abundance	0.3	0.2	6
44867046	77938920	human	abundance	0.3	0.2	7
44866657	77938920	human	abundance	0.3	0.2	8
44866930	77938920	human	abundance	0.3	0.2	9
44866700	77938920	human	abundance	0.3	0.2	10
44866917	77938920	human	abundance	0.3	0.2	11
44866585	77938920	human	abundance	0.3	0.2	12
44866967	77938920	human	abundance	0.3	0.2	13
44866894	77938920	human	abundance	0.3	0.2	14
44866732	77938920	human	abundance	0.3	0.2	15
44866640	77938920	human	abundance	0.3	0.2	16
44866915	77938920	human	abundance	0.3	0.2	17
44866885	77938920	human	abundance	0.3	0.2	18
44866937	77938920	human	abundance	0.3	0.2	19
44866729	77938920	human	abundance	0.3	0.2	20
53840201	93526704	human	abundance	0.4	0.2	1
53839733	93526704	human	abundance	0.4	0.2	2
53840053	93526704	human	abundance	0.4	0.2	3
53840077	93526704	human	abundance	0.4	0.2	4
53840046	93526704	human	abundance	0.4	0.2	5
53840114	93526704	human	abundance	0.4	0.2	6
53839924	93526704	human	abundance	0.4	0.2	7
53840017	93526704	human	abundance	0.4	0.2	8
53839891	93526704	human	abundance	0.4	0.2	9
53839902	93526704	human	abundance	0.4	0.2	10
53840061	93526704	human	abundance	0.4	0.2	11
53839932	93526704	human	abundance	0.4	0.2	12
53839821	93526704	human	abundance	0.4	0.2	13
53839851	93526704	human	abundance	0.4	0.2	14
53840015	93526704	human	abundance	0.4	0.2	15
53840008	93526704	human	abundance	0.4	0.2	16
53839958	93526704	human	abundance	0.4	0.2	17
53840156	93526704	human	abundance	0.4	0.2	18
53840270	93526704	human	abundance	0.4	0.2	19
53839780	93526704	human	abundance	0.4	0.2	20
62813077	109114488	human	abundance	0.5	0.2	1
62813187	109114488	human	abundance	0.5	0.2	2
62813145	109114488	human	abundance	0.5	0.2	3
62813368	109114488	human	abundance	0.5	0.2	4
62813241	109114488	human	abundance	0.5	0.2	5
62813351	109114488	human	abundance	0.5	0.2	6
62813042	109114488	human	abundance	0.5	0.2	7
62813195	109114488	human	abundance	0.5	0.2	8
62813367	109114488	human	abundance	0.5	0.2	9
62813034	109114488	human	abundance	0.5	0.2	10
62813124	109114488	human	abundance	0.5	0.2	11
62813235	109114488	human	abundance	0.5	0.2	12
62813327	109114488	human	abundance	0.5	0.2	13
62813273	109114488	human	abundance	0.5	0.2	14
62813206	109114488	human	abundance	0.5	0.2	15
62813139	109114488	human	abundance	0.5	0.2	16
62813251	109114488	human	abundance	0.5	0.2	17
62813193	109114488	human	abundance	0.5	0.2	18
62813310	109114488	human	abundance	0.5	0.2	19
62813122	109114488	human	abundance	0.5	0.2	20
71785644	124701676	human	abundance	0.6	0.2	1
71785776	124701676	human	abundance	0.6	0.2	2
71785786	124701676	human	abundance	0.6	0.2	3
71785730	124701676	human	abundance	0.6	0.2	4
71785668	124701676	human	abundance	0.6	0.2	5
71785910	124701676	human	abundance	0.6	0.2	6
71785769	124701676	human	abundance	0.6	0.2	7
71785630	124701676	human	abundance	0.6	0.2	8
71785815	124701676	human	abundance	0.6	0.2	9
71785800	124701676	human	abundance	0.6	0.2	10
71785791	124701676	human	abundance	0.6	0.2	11
71785660	124701676	human	abundance	0.6	0.2	12
71785710	124701676	human	abundance	0.6	0.2	13
71785814	124701676	human	abundance	0.6	0.2	14
71785653	124701676	human	abundance	0.6	0.2	15
71785754	124701676	human	abundance	0.6	0.2	16
71785700	124701676	human	abundance	0.6	0.2	17
71785550	124701676	human	abundance	0.6	0.2	18
71785687	124701676	human	abundance	0.6	0.2	19
71785815	124701676	human	abundance	0.6	0.2	20
80758753	140289460	human	abundance	0.7	0.2	1
80758666	140289460	human	abundance	0.7	0.2	2
80758557	140289460	human	abundance	0.7	0.2	3
80758639	140289460	human	abundance	0.7	0.2	4
80758571	140289460	human	abundance	0.7	0.2	5
80758566	140289460	human	abundance	0.7	0.2	6
80758552	140289460	human	abundance	0.7	0.2	7
80758498	140289460	human	abundance	0.7	0.2	8
80758433	140289460	human	abundance	0.7	0.2	9
80758470	140289460	human	abundance	0.7	0.2	10
80758513	140289460	human	abundance	0.7	0.2	11
80758561	140289460	human	abundance	0.7	0.2	12
80758742	140289460	human	abundance	0.7	0.2	13
80758707	140289460	human	abundance	0.7	0.2	14
80758684	140289460	human	abundance	0.7	0.2	15
80758521	140289460	human	abundance	0.7	0.2	16
80758547	140289460	human	abundance	0.7	0.2	17
80758486	140289460	human	abundance	0.7	0.2	18
80758652	140289460	human	abundance	0.7	0.2	19
80758597	140289460	human	abundance	0.7	0.2	20
89731273	155877244	human	abundance	0.8	0.2	1
89731273	155877244	human	abundance	0.8	0.2	2
89731273	155877244	human	abundance	0.8	0.2	3
89731273	155877244	human	abundance	0.8	0.2	4
89731273	155877244	human	abundance	0.8	0.2	5
89731273	155877244	human	abundance	0.8	0.2	6
89731273	155877244	human	abundance	0.8	0.2	7
89731273	155877244	human	abundance	0.8	0.2	8
89731273	155877244	human	abundance	0.8	0.2	9
89731273	155877244	human	abundance	0.8	0.2	10
89731273	155877244	human	abundance	0.8	0.2	11
89731273	155877244	human	abundance	0.8	0.2	12
89731273	155877244	human	abundance	0.8	0.2	13
89731273	155877244	human	abundance	0.8	0.2	14
89731273	155877244	human	abundance	0.8	0.2	15
89731273	155877244	human	abundance	0.8	0.2	16
89731273	155877244	human	abundance	0.8	0.2	17
89731273	155877244	human	abundance	0.8	0.2	18
89731273	155877244	human	abundance	0.8	0.2	19
89731273	155877244	human	abundance	0.8	0.2	20
26917563	46763352	human	distance	0.1	0.2	1
26917642	46763352	human	distance	0.1	0.2	2
26917618	46763352	human	distance	0.1	0.2	3
26917348	46763352	human	distance	0.1	0.2	4
26917422	46763352	human	distance	0.1	0.2	5
26917841	46763352	human	distance	0.1	0.2	6
26917401	46763352	human	distance	0.1	0.2	7
26917404	46763352	human	distance	0.1	0.2	8
26917436	46763352	human	distance	0.1	0.2	9
26917661	46763352	human	distance	0.1	0.2	10
26917502	46763352	human	distance	0.1	0.2	11
26917617	46763352	human	distance	0.1	0.2	12
26917469	46763352	human	distance	0.1	0.2	13
26917567	46763352	human	distance	0.1	0.2	14
26917416	46763352	human	distance	0.1	0.2	15
26917413	46763352	human	distance	0.1	0.2	16
26917484	46763352	human	distance	0.1	0.2	17
26917362	46763352	human	distance	0.1	0.2	18
26917427	46763352	human	distance	0.1	0.2	19
26917517	46763352	human	distance	0.1	0.2	20
35889170	62351136	human	distance	0.2	0.2	1
35889182	62351136	human	distance	0.2	0.2	2
35889074	62351136	human	distance	0.2	0.2	3
35889304	62351136	human	distance	0.2	0.2	4
35889133	62351136	human	distance	0.2	0.2	5
35889164	62351136	human	distance	0.2	0.2	6
35889182	62351136	human	distance	0.2	0.2	7
35889094	62351136	human	distance	0.2	0.2	8
35889101	62351136	human	distance	0.2	0.2	9
35889180	62351136	human	distance	0.2	0.2	10
35889099	62351136	human	distance	0.2	0.2	11
35889316	62351136	human	distance	0.2	0.2	12
35889442	62351136	human	distance	0.2	0.2	13
35889217	62351136	human	distance	0.2	0.2	14
35889180	62351136	human	distance	0.2	0.2	15
35889176	62351136	human	distance	0.2	0.2	16
35889109	62351136	human	distance	0.2	0.2	17
35889392	62351136	human	distance	0.2	0.2	18
35889298	62351136	human	distance	0.2	0.2	19
35889070	62351136	human	distance	0.2	0.2	20
44861520	77938920	human	distance	0.3	0.2	1
44861591	77938920	human	distance	0.3	0.2	2
44861643	77938920	human	distance	0.3	0.2	3
44861697	77938920	human	distance	0.3	0.2	4
44861379	77938920	human	distance	0.3	0.2	5
44861750	77938920	human	distance	0.3	0.2	6
44861676	77938920	human	distance	0.3	0.2	7
44861562	77938920	human	distance	0.3	0.2	8
44861647	77938920	human	distance	0.3	0.2	9
44861514	77938920	human	distance	0.3	0.2	10
44861401	77938920	human	distance	0.3	0.2	11
44861682	77938920	human	distance	0.3	0.2	12
44861619	77938920	human	distance	0.3	0.2	13
44861557	77938920	human	distance	0.3	0.2	14
44861448	77938920	human	distance	0.3	0.2	15
44861567	77938920	human	distance	0.3	0.2	16
44861622	77938920	human	distance	0.3	0.2	17
44861430	77938920	human	distance	0.3	0.2	18
44861844	77938920	human	distance	0.3	0.2	19
44861554	77938920	human	distance	0.3	0.2	20
53834608	93526704	human	distance	0.4	0.2	1
53834872	93526704	human	distance	0.4	0.2	2
53834852	93526704	human	distance	0.4	0.2	3
53834729	93526704	human	distance	0.4	0.2	4
53834793	93526704	human	distance	0.4	0.2	5
53834804	93526704	human	distance	0.4	0.2	6
53834834	93526704	human	distance	0.4	0.2	7
53834530	93526704	human	distance	0.4	0.2	8
53834650	93526704	human	distance	0.4	0.2	9
53834749	93526704	human	distance	0.4	0.2	10
53834663	93526704	human	distance	0.4	0.2	11
53834543	93526704	human	distance	0.4	0.2	12
53834795	93526704	human	distance	0.4	0.2	13
53834804	93526704	human	distance	0.4	0.2	14
53834746	93526704	human	distance	0.4	0.2	15
53834861	93526704	human	distance	0.4	0.2	16
53834609	93526704	human	distance	0.4	0.2	17
53834900	93526704	human	distance	0.4	0.2	18
53834675	93526704	human	distance	0.4	0.2	19
53834795	93526704	human	distance	0.4	0.2	20
62808178	109114488	human	distance	0.5	0.2	1
62808433	109114488	human	distance	0.5	0.2	2
62808461	109114488	human	distance	0.5	0.2	3
62808338	109114488	human	distance	0.5	0.2	4
62808363	109114488	human	distance	0.5	0.2	5
62808420	109114488	human	distance	0.5	0.2	6
62808468	109114488	human	distance	0.5	0.2	7
62808403	109114488	human	distance	0.5	0.2	8
62808478	109114488	human	distance	0.5	0.2	9
62808200	109114488	human	distance	0.5	0.2	10
62808252	109114488	human	distance	0.5	0.2	11
62808683	109114488	human	distance	0.5	0.2	12
62808578	109114488	human	distance	0.5	0.2	13
62808563	109114488	human	distance	0.5	0.2	14
62808304	109114488	human	distance	0.5	0.2	15
62808395	109114488	human	distance	0.5	0.2	16
62808363	109114488	human	distance	0.5	0.2	17
62808693	109114488	human	distance	0.5	0.2	18
62808322	109114488	human	distance	0.5	0.2	19
62808562	109114488	human	distance	0.5	0.2	20
71782101	124701676	human	distance	0.6	0.2	1
71782059	124701676	human	distance	0.6	0.2	2
71782305	124701676	human	distance	0.6	0.2	3
71782043	124701676	human	distance	0.6	0.2	4
71782367	124701676	human	distance	0.6	0.2	5
71782338	124701676	human	distance	0.6	0.2	6
71782200	124701676	human	distance	0.6	0.2	7
71781960	124701676	human	distance	0.6	0.2	8
71781988	124701676	human	distance	0.6	0.2	9
71782156	124701676	human	distance	0.6	0.2	10
71782217	124701676	human	distance	0.6	0.2	11
71782272	124701676	human	distance	0.6	0.2	12
71782115	124701676	human	distance	0.6	0.2	13
71782221	124701676	human	distance	0.6	0.2	14
71782145	124701676	human	distance	0.6	0.2	15
71782091	124701676	human	distance	0.6	0.2	16
71782103	124701676	human	distance	0.6	0.2	17
71782188	124701676	human	distance	0.6	0.2	18
71782183	124701676	human	distance	0.6	0.2	19
71782027	124701676	human	distance	0.6	0.2	20
80756565	140289460	human	distance	0.7	0.2	1
80756493	140289460	human	distance	0.7	0.2	2
80756431	140289460	human	distance	0.7	0.2	3
80756511	140289460	human	distance	0.7	0.2	4
80756539	140289460	human	distance	0.7	0.2	5
80756299	140289460	human	distance	0.7	0.2	6
80756650	140289460	human	distance	0.7	0.2	7
80756391	140289460	human	distance	0.7	0.2	8
80756566	140289460	human	distance	0.7	0.2	9
80756463	140289460	human	distance	0.7	0.2	10
80756423	140289460	human	distance	0.7	0.2	11
80756759	140289460	human	distance	0.7	0.2	12
80756650	140289460	human	distance	0.7	0.2	13
80756479	140289460	human	distance	0.7	0.2	14
80756591	140289460	human	distance	0.7	0.2	15
80756605	140289460	human	distance	0.7	0.2	16
80756530	140289460	human	distance	0.7	0.2	17
80756543	140289460	human	distance	0.7	0.2	18
80756593	140289460	human	distance	0.7	0.2	19
80756657	140289460	human	distance	0.7	0.2	20
89731273	155877244	human	distance	0.8	0.2	1
89731273	155877244	human	distance	0.8	0.2	2
89731273	155877244	human	distance	0.8	0.2	3
89731273	155877244	human	distance	0.8	0.2	4
89731273	155877244	human	distance	0.8	0.2	5
89731273	155877244	human	distance	0.8	0.2	6
89731273	155877244	human	distance	0.8	0.2	7
89731273	155877244	human	distance	0.8	0.2	8
89731273	155877244	human	distance	0.8	0.2	9
89731273	155877244	human	distance	0.8	0.2	10
89731273	155877244	human	distance	0.8	0.2	11
89731273	155877244	human	distance	0.8	0.2	12
89731273	155877244	human	distance	0.8	0.2	13
89731273	155877244	human	distance	0.8	0.2	14
